NIM,NAMA,UTS,UAS,TGS1,TGS2,TGS3,RATA2TGS,N_AKHIR,STATUS,KETERANGAN,GRADE
123444,DIANA,71,40,81.0,76.0,80.0,79.0,58.65,TDK LULUS,Remedial,D
245455,DANI DEWI,61,53,75.0,70.0,71.0,72.0,59.6,TDK LULUS,Remedial,D
556678,RATNA,92,89,86.0,89.0,74.0,83.0,88.85,LULUS,Aman,A
445565,RENDI,62,57,84.0,70.0,87.0,80.33,63.42,LULUS,Aman,C
555223,RAHMAT,51,50,76.0,81.0,88.0,81.67,56.68,TDK LULUS,Remedial,D
545444,EKA,82,48,79.0,77.0,81.0,79.0,66.1,LULUS,Aman,C
566445,JUWITA,81,74,0.0,0.0,73.0,24.33,66.52,LULUS,Aman,C
454542,YUNI,62,88,87.0,81.0,89.0,85.67,78.43,LULUS,Aman,B
545444,WAHYUDIN,95,53,81.0,70.0,81.0,77.33,72.57,LULUS,Aman,B
554454,DONI 2,90,88,75.0,85.0,90.0,83.33,87.77,LULUS,Aman,A
